AN,TAB,Seed
1750,"Scattering properties of soot-containing particles and their impact by humidity in 1.6 mu m Short-wave infrared (SWIR) band in wavelength near 1.6 mu m is one of the key bands used for satellite observation of Carbon Dioxide (CO2). However, one major uncertainty to use this band for the CO2 retrieval is the scattering by cloud and aerosol particles. To better understand the scattering properties of soot-containing particles in this band, this paper studied the scattering properties for three typical types of soot-containing particles in China: (I) internal mixture, (II) pure soot aggregate, and (III) semi-external 'mixture. Assumed as single non-spherical particle for type I, its scattering property is computed using the T-matrix method combined with the Maxwell-Garnett effective medium theory and the hygroscopic growth theory. For types II and III, a particle-cluster aggregation algorithm is employed to generate fractal-like aggregates, and their scattering properties are computed using the Core-Mantle Generalized Multi-sphere Mie-solution method combined with the hygroscopic growth theory of both monomers and aggregated particles. The simulated results demonstrate that their scattering properties are quite different and strongly impacted by the levels of relative humidity (RH). For type I, the RH plays a much more important role than the morphology in impacting the scattering properties, and the scattering phase functions among different shaped particles have a larger difference for larger particles and higher RH. For type II, both the RH and morphology significantly affect its scattering properties. The single scattering albedo (omega) can be underestimated up to similar to 50% without considering the effects of RH and morphological changes. For type III, its scattering properties mainly depend on the RH and the size of the large water-soluble particle. Although the enlarged soot aggregate, which is attached to a water-soluble particle, almost does not change the light direction, it can result in a significant reduction in omega (similar to 0.15) at low RH for small particles. By comparing the scattering parameters of wet particles at a certain RH level with the dry ones, the impact by the heterogeneity of aerosols generally becomes larger with the increase of RH, but becomes smaller with the increase of particle size. These results suggest that, although the water vapor absorption itself is small in 1.6 pm CO2 band, it can significantly impact the scattering properties of these particles through its effect on the hygroscopic growth of the non-spherical and heterogeneous aerosols. This impact should be taken into account in the retrieval of CO2 using 1.6 mu m as well as other related remote sensing applications. (C) 2013 Elsevier Ltd. All rights reserved.",
1751,"""All for some"": water inequity in Zambia and Zimbabwe In southern Africa, gross disparities in access to water are symptomatic of the overall uneven pattern of development. Despite post-independence egalitarian rhetoric, in countries such as Zambia and Zimbabwe inappropriate models (piped house connections in the urban areas, high technology irrigation schemes in the agricultural sector), combined with weak macro-economies and poorly formulated sectoral policies have actually exacerbated the disparities. Zero or very low tariffs have played a major role in this. Although justified as being consistent with water's special status, inadequate tariffs in fact serve to undermine any programme of making water accessible to all. This has led to a narrowing of development options, resulting in exclusivist rather than inclusivist development, and stagnation rather than dynamism. A major part of the explanation for perpetuation of such unsatisfactory outcomes is the existence of political interest groups who benefit from the status quo. The first case study in the paper involves urban water consumers in Zambia, where those with piped water connections seek to continue the culture of low tariffs which is by now deeply embedded. The result is that the water supply authorities (in this case the newly formed, but still politically constrained 'commercialised utilities') are unable even to maintain adequate supplies to the piped customers, let alone extend service to the peri-urban dwellers, 56% of whom do not have access to safe water. The paper outlines some modest, workable principles to achieve universal, affordable access to water in the urban areas, albeit through a mix of service delivery mechanisms. In a second case study of rural productive water in Zimbabwe, the reasons for only 2% of the rural subsistence farming households being involved in formal small-scale irrigation schemes 20 years after independence are explored. Again, a major part of the explanation lies in government pursuing a water delivery model which is not affordable or sustainable on a wide scale. Its provision, via substantial capital and recurrent subsidies, for a small group has a large opportunity cost for society as a whole. The small-scale irrigators have a vested interest in ensuring that the subsidies are maintained, but in the process continue to absorb a disproportionate amount of resources which could be used for development elsewhere. By choosing simpler, cheaper water technologies, and assisting farmers with growing and marketing high value crops, the resources could instead be used to benefit a much larger proportion of households. With well designed programmes aimed at achieving equity, large numbers of subsistence farmers could improve their incomes and start working their way out of poverty. (C) 2002 Elsevier Science Ltd. All rights reserved.",
1752,"RADON IN GROUNDWATER OF MAGADI TALUK, RAMANAGARA DISTRICT IN KARNATAKA Radon is a water-soluble radioactive noble gas produced from the alpha decay of Ra-226 in uranium series. Its presence in drinking water and open air increases the risk of lung and intestinal cancers in human beings. In view of this, radon concentration in groundwater and its dose due to inhalation and ingestion to the population of Magadi taluk of Ramanagara district in Karnataka state, India was studied. The groundwater samples were analyzed for radon concentration using emanometry technique. The study showed that the radon concentration in this area varied from 27.4 +/- 1.0 to 167.5 +/- 3.9 Bq/L and the effective dose ranged from 104.2 +/- 2.7 to 636.2 +/- 11.0 mu Sv/a. The study also revealed that 95% of the 37 samples studied showed higher radon concentration compared to the UNSCEAR recommendation (40 Bq/L) and all the samples showed higher than the USEPA recommendation (11.1 Bq/L). Ten samples have concentration above the maximum permissible level prescribed by WHO (100 Bq/L). The groundwater samples are found to be slightly alkaline within the permissible limit of Indian Standards.",
1753,"DETERMINATION OF SEASONAL VARIATIONS OF HEAVY METALS ANI PHYSICOCHEMICAL PARAMETERS IN SAKIZ POND (KASTAMONU-TURKEY) The main objective of this study was to determine physicochemical parameters and heavy metal concentrations for Sakiz Pond, Kastamonu-Turkey. Thus the water quality properties were assessed, the pollution problems were revealed, the suitability levels in terms of aquatic life and drinking water were determined and the quality of water in accordance with the Surface Water Quality Management Regulation (SWQMR) criteria was classified. In total, 21 physicochemical parameters and 7 heavy metals were investigated for water quality assessment of the studied pond between March 2015 and February 2016. This study was carried out through monthly sampling during 1 year, in 3 stations at Sakiz Pond. Temperature, pH, salinity and electrical conductivity parameters were obtained from the field using a multiparameter. The analyses of nitrite, nitrate, ammoniac, ammonium nitrogen (NH4+), chloride, phosphate, sulfate, sulfite, potassium, calcium, sodium and magnesium were conducted by using EACH LANGE brand DR 6000 laboratory type spectrophotometer and the analyses of the heavy metals were conducted by using a gas chromatography-Mass Spectrometry. The water quality in study area was found to be Class I according to the Surface Water Quality Management Regulation, and also this water was found as suitable in terms of drinking water quality. The results of this study will provide a data baseline for future studies on subsequent evaluations of possible future environmental contamination, and also this study will be the baseline data for future ecological studies and conservation and management of the water resources of Kastamonu-Turkey.",
1754,"Evaluation of arsenic contamination and potential risks assessment through water, soil and rice consumption This study was carried to assess the arsenic (As) contamination in water, soil, and rice. Surface-water (n=120), soil (n=102), and rice plants (n=50) samples were collected from the Sewakht (rural) and Chitral city (urban) areas, Pakistan, and analyzed for As concentration. The average concentration of As were 2 and 2 mu g/L in water, 0.67 and 0.07 mg/kg in soil, and 0.03 and 0.03 mg/kg in rice grain of rural and urban, respectively. Determined As concentration in surface-water, soil, and rice grains were used for the assessment of the potential risks. The mean hazard quotients (HQ) values through water consumption for adults and children were within the threshold limits. For water consumption, the cancerous risk (R) of adults and children were 7.4% and 3.03% in rural, while 6.06% and 1.85% in urban, respectively. Soil (7%) exhibited R for rural-children only. The mean HQ values through rice consumption were within the limit for children and adults. This study revealed that As contamination in water could result in various health problems for the local community in the future. Therefore, they need to be provided safe and clean drinking water. (C) 2020 Elsevier B.V. All rights reserved.",
1755,"RARE-EARTH ELEMENTS IN GROUNDWATERS FROM THE OSAMU UTSUMI MINE AND MORRO-DO-FERRO ANALOG STUDY SITES, POCOS-DE-CALDAS, BRAZIL Data are presented on rare-earth elements (REE) in prefiltered ( < 450 rum) near-surface and deeper groundwaters and in corresponding particulate matter (> 450 nm) from the Osamu Utsumi uranium mine and the Morro do Ferro thorium-REE-deposit. Groundwaters from both sites typically contain between 1-50 mug/l of total REE, but can reach values of up to 160 mug/l in the deepest borehole F4 (U-mine: 150-415 m). Even higher REE concentrations of up to 29 mg/l were measured in acidic, sulfate-rich near-surface waters of the same site. The chondrite-normalized REE patterns in deeper, more reducing groundwaters and in their corresponding suspended particle fractions are similar to those observed in the bedrock (phonolites), indicating that bedrock leaching and secondary mineral sorption occurred without significant fractionation between these elements, in accordance with the only small variations in the stability constants of the expected REE-sulfate complexes in these waters. Groundwaters from the unsaturated zone of both sites show a very characteristic cerium depletion (less pronounced than that observed in the corresponding suspended particulate fractions), which is most probably related to the oxidation of Ce (III) under the prevailing E(h)-conditions of these waters (600 to 800 mV), and to sorption/precipitation reactions of the much less soluble Ce(IV) species. Coarse particulate matter (> 450 nm), composed mainly of amorphous ferric hydrous oxides, has a strong capacity for sorption of REE. This is shown by its very high REE concentrations, in some boreholes > 8,000 mug/g (total REE), and by the calculated association ratios R(a) (ml/g), which are in the order of 10(5) to 10(6) . The implications of these findings for the migration behavior of REE in both environments are discussed.",
1756,"Motor alterations associated with exposure to manganese in the environment in Mexico Overexposure to manganese (Mn) causes neurotoxicity (a Parkinson-like syndrome) or psychiatric damage (""manganese madness""). Several studies have shown alterations to motor and neural behavior associated with exposure to Mn in the workplace. However, there are few studies on the effects of environmental exposure of whole populations. We studied the risk of motor alterations in people living in a mining district in Mexico. We studied 288 individual people (168 women and 120 men) from eight communities at various distances from manganese extraction or processing facilities in the district of Molango. We measured manganese concentrations in airborne particles, water, soil and crops and evaluated the possible routes of Mn exposure. We also took samples of people's blood and determined their concentrations of Mn and lead (Pb). We used ""Esquema de DiagnÃ³stico NeuropsicolÃ³gico"" Ardila and Ostrosky-SolÃ­s's neuropsychological battery to evaluate motor functions. Concentrations of Mn in drinking water and maize grain were less than detection limits at most sampling sites. Manganese extractable by DTPA in soils ranged between 6 and 280 mg kg(-1) and means were largest close to Mn extraction or processing facilities. Air Mn concentration ranged between 0.003 and 5.86 microg/m(3); the mean value was 0.42 microg/m(3) and median was 0.10 microg/m(3), the average value (geometric mean) resulted to be 0.13 microg/m(3). Mean blood manganese concentration was 10.16 microg/l, and geometric mean 9.44 microg/l, ranged between 5.0 and 31.0 mcrog/l. We found no association between concentrations of Mn in blood and motor tests. There was a statistically significant association between Mn concentrations in air and motor tests that assessed the coordination of two movements (OR 3.69; 95% CI 0.9, 15.13) and position changes in hand movements (OR 3.09; CI 95% 1.07, 8.92). An association with tests evaluating conflictive reactions (task that explores verbal regulations of movements) was also found (OR 2.30; CI 95% 1.00, 5.28). It seems from our results that people living close to the manganese mines and processing plants suffer from an incipient motor deficit, as a result of their inhaling manganese-rich dust.",
1757,"Effect of Soil Moisture on the Epigeic Arthropods Diversity in Steppe Landscape The consequences of global climate change are a decrease in precipitation as well as an increase in the length of the period with high temperatures from spring to autumn. The climate change intensified the negative consequences of land reclamation and regulation of rivers by dams in Ukraine in the 20th century. The modern landscape of the Circum-Pontic and Circum-Azov regions in Ukraine has undergone desertification, and a multiple reduction in the freshwater runoff has manifested itself in a violation of the water balance of soils and their salinization. In addition to the climate change and anthropic landscape transformations, most upland areas in southern Ukraine have been converted into farmland, systematically fertilized and treated with pesticides and herbicides. Total plowing of the territory also led to soil erosion and degradation. The global climate change and the impact of human activity have affected the diversity of the steppe fauna as well. The questions of the influence of soil humidity on the diversity of epigeic arthropods were considered on the example of ground beetles (Coleoptera, Carabidae). Soil moisture is one of the key factors that determines their diversity.",
1758,"Aerosol-Cloud-Precipitation Interactions over Iraq Using MODIS Satellite Data and HYSPLIT Model During (2008-2017) In this work, spatial and temporal variations of aerosols parameters namely AOD, AI and AE were investigated with spatial resolution of 1 degrees x 1 degrees over Iraq (28.5 degrees-38.5 degrees N, 38.5 degrees- 48.25 degrees E); data have been retrieved from January 2008 to December 2017 by Moderate Resolution Imaging Spectroradiometer (MODIS) were analyzed which can lead to modifications in the microphysics of clouds as well. The highest values for AOD and AI were observed in summer and spring, by contrast, minimum AOD and AI values were found in winter and autumn, while the highest values of AE were recorded in winter and autumn and the lower values were found in summer and spring. Furthermore, the relationships between AOD, AE and live cloud parameters, namely, cloud fraction (CF), water vapor (WV), cloud optical thickness (COT), cloud effective radius (CER), and precipitation (PPT) have been investigated by employing spatial correlation maps for their data values. The analysis showed a strong negative correlation between AOD and AE particularly in the western region (Rutba). AOD showed a negative relationship with COT in the whole of Iraq. AOD and CER presented a positive relation along the arid desert region extended from west northern region to the west southern region passing through the western region of Iraq. The correlation between AOD and CF showed a negative correlation (similar to-0.5). The correlation between AOD and WV was positive (similar to 0.7) especially in the stripe joint between the middle and the northern region. The relationship between AOD and PPT showed a negative correlation over whole of Iraq. The correlation results between AE and cloud parameter were opposite to that between AOD and cloud parameter except CER was the same correlation result for both. The correlations between AI and cloud parameters were also investigated. In present study, cluster analysis on 7-day isentropic air mass backward trajectories has been used for the all days of the year employing HYSPLIT model. Cluster analysis determines the air mass source regions, which were reached the different selected cities (Mosul, Baghdad, Rutba, Al-Nukhib, Nasiriyah and Basrah).",
1759,"Activated Carbon from Food Waste Activated carbons are considered to be the most successful adsorbent materials due to their high adsorption capacity for the majority of pollutants, e.g. dyes, heavy metals, pharmaceuticals, phenols. They possess large surface area, and different surface functional groups, which include carboxyl, carbonyl, phenol, quinone, lactone and other groups bound to the edges of the graphite-like layers. Therefore, they are regarded as good adsorbents both in liquid and gas phases. The most widely used carbonaceous materials for the industrial production of activated carbons are coal, wood and coconut shell. These types of precursors are quite expensive and often imported, in many places; hence making it necessary, particularly for developing countries, to find a cheap and available feedstock for the preparation of activated carbon for use in industry, drinking water purification and wastewater treatment. In order to reduce the synthesis cost of activated carbons, some green final products are recently proposed, using several suitable agricultural by-products (lignocellulosics) - i.e. including olive-waste cakes, cattle-manue compost, bamboo materials, apple pulp, potato peel - as activated carbon precursors. In this chapter, special attention is given to activated carbons based on some of agricultural wastes from the Mediterranean region, which can be characterized as green.",
1760,"Geochemical behaviour of major and trace elements in dissolved and particulate phases of the Bouregreg river (Morocco) The Bouregreg river is one of the main rivers of Morocco, Its source being located in the Moroccan Central Massif and flows towards the Atlantic coast through the coastal Meseta. The Bouregreg river basin is located in the Moroccan Central Massif which consists mainly of Palaeozoic formations that were subject to the Hercynian orogeny. To evaluate the environmental status of the Bouregreg river water, sampling of the dissolved (< 0.22 mu m) and suspended (> 0.22 mu m) phases was performed at 10 sites along the Bouregreg river and its tributaries in the winter of 2005. Major (Na, Ca, K, Ti, Mn, Al and Fe), trace (As, Ba, Bi, Cd, Co, Cr, Cs, Cu, Hf, Li, Mo, Nb, Ni, Pb, Rb, Sb, Sc, Sn, Sr, Ta, Th, U, V, W, Y, Zn and Zr) elements and rare earth elements were analysed. The dissolved and particulate phase of the Bouregreg river draining these contrasting zones show similar characteristics to those observed in other major tropical rivers such as the Congo and Amazon, and vary in composition between the different source areas. Obtained data show that the spectra of the standardized concentrations for all the determined elements in the dissolved and the suspended phase have the same form whatever the station and that the whole of the elements is strongly deficient compared to the upper continental crust. The strong depletion in the suspended phase and the associated enrichment in the dissolved phase suggest that some elements such as Rb, Ba and Sr are the most mobile elements during the weathering processes. The removal of the most mobile elements from the bedrock concentrates all remaining elements in the weathered phases of the soils, from whence it can be removed mechanically. As and Sb are strongly enriched as well in the dissolved load as in the suspended load.",
1761,"Using partial penetrating wells and curtains to lower the water level of confined aquifer of gravel To address the difficulties of penetrating and dewatering of a deep and thick confined aquifer of gravel, a dewatering approach that considers the anisotropic hydraulic conductivity of aquifer, co-work of partial penetrating curtains, and partial penetrating pumping wells was developed. Using the deep foundation pit of the southern ventilation shaft of Metro Line 1 in Hangzhou, China, as an example, a numerical simulation model based on finite difference method was established to invert the parameters and determine the co-work of partial penetrating curtains and wells. The anisotropic characteristic of the aquifer indicated that the three-dimensional flow caused by partial penetrating wells produced bigger drawdown. By co-working with the partial penetrating wells, the partial penetrating curtains changed the horizontal flow to a vertical one, lengthened the flow path, and consumed more energy to produce bigger drawdown. Three simulation schemes with different lengths, depths of well screen, and pumping rates were performed. The results indicated that a short screen for the pumping well embedded by curtains resulted in the biggest drawdown with minimum pumping rate. Based on numerical simulations, four pumping wells with 4 m-long screens embedded by curtains were installed inside the excavation zone. The water level declined to the required drawdown, which indicated that the approach is feasible and can provide solutions to problems on similar projects. (C) 2013 Elsevier B.V. All rights reserved.",
1762,"Neurocysticercosis Among Zambian Children and Adolescents With Human Immunodeficiency Virus: A Geographic Information Systems Approach Background: Neurocysticercosis is the most common parasitic infection of the brain and a leading cause of epilepsy in resource-limited settings. Although neurocysticercosis and human immunodeficiency virus coinfections have commonly been reported, there are few data on how they interact. As part of an observational study of human immunodeficiency virus and cognition in Lusaka, Zambia, we identified a cluster of subjects with neurocysticercosis. We hypothesized that the neighborhood of residence may be an important factor driving clustering of neurocysticercosis and used a geographic information systems approach to investigate this association. Methods: A total of 34 subjects with human immunodeficiency virus and 13 subjects without human immunodeficiency virus (aged eight to 17 years) enrolled in the HIV-Associated Neurocognitive Disorders in Zambia study, had magnetic resonance imaging of the brain performed, and were evaluated for neurocysticercosis. Quantitative geographic information systems was utilized to investigate the relationship between neighborhood of residence, HIV, and neurocysticercosis. Results: Three of 34 subjects with human immunodeficiency virus (8.82%) and one of 13 controls were found to have neurocysticercosis. Geographic cluster analysis demonstrated that all subjects with neurocysticercosis were clustered in two adjacent neighborhoods (Chawama and Kanyama) with lower rates of piped water (Chawama: 22.8%, Kanyama: 26.7%) and flush toilets (Chawama: 14.0%, Kanyama: 14.0%) than the surrounding neighborhoods. Conclusion: We describe a cluster of patients with both neurocysticercosis and human immunodeficiency virus in Lusaka. Cases of neurocysticercosis clustered in neighborhoods with low rates of piped water and limited access to flush toilets. Geographic information systems may be a useful approach for studying the relationship between human immunodeficiency virus and neurocysticercosis. Larger studies are necessary to further investigate this association. (C) 2019 Elsevier Inc. All rights reserved.",
1763,"Water Level Reconstruction and Prediction Based on Space-Borne Sensors: A Case Study in the Mekong and Yangtze River Basins Water level (WL) measurements denote surface conditions that are useful for monitoring hydrological extremes, such as droughts and floods, which both affect agricultural productivity and regional development. Due to spatially sparse in situ hydrological stations, remote sensing measurements that capture localized instantaneous responses have recently been demonstrated to be a viable alternative to WL monitoring. Despite a relatively good correlation with WL, a traditional passive remote sensing derived WL is reconstructed from nearby remotely sensed surface conditions that do not consider the remotely sensed hydrological variables of a whole river basin. This method's accuracy is also limited. Therefore, a method based on basin-averaged, remotely sensed precipitation from the Tropical Rainfall Measuring Mission (TRMM) and gravimetrically derived terrestrial water storage (TWS) from the Gravity Recovery and Climate Experiment (GRACE) is proposed for WL reconstruction in the Yangtze and Mekong River basins in this study. This study examines the WL reconstruction performance from these two remotely sensed hydrological variables and their corresponding drought indices (i.e., TRMM Standardized Precipitation Index (TRMM-SPI) and GRACE Drought Severity Index (GRACE-DSI)) on a monthly temporal scale. A weighting procedure is also developed to explore a further potential improvement in the WL reconstruction. We found that the reconstructed WL derived from the hydrological variables compares well to the observed WL. The derived drought indices perform even better than those of their corresponding hydrological variables. The indices' performance rate is owed to their ability to bypass the influence of El Nino Southern Oscillation (ENSO) events in a standardized form and their basin-wide integrated information. In general, all performance indicators (i.e., the Pearson Correlation Coefficient (PCC), Root-mean-squares error (RMSE), and Nash-Sutcliffe model efficiency coefficient (NSE)) reveal that the remotely sensed hydrological variables (and their corresponding drought indices) are better alternatives compared with traditional remote sensing indices (e.g., Normalized Difference Vegetation Index (NDVI)), despite different geographical regions. In addition, almost all results are substantially improved by the weighted averaging procedure. The most accurate WL reconstruction is derived from a weighted TRMM-SPI for the Mekong (and Yangtze River basins) and displays a PCC of 0.98 (and 0.95), a RMSE of 0.19 m (and 0.85 m), and a NSE of 0.95 (and 0.89); by comparison, the remote sensing variables showed less accurate results (PCC of 0.88 (and 0.82), RMSE of 0.41 m (and 1.48 m), and NSE of 0.78 (and 0.67)) for its inferred WL. Additionally, regardless of weighting, GRACE-DSI displays a comparable performance. An external assessment also shows similar results. This finding indicates that the combined usage of remotely sensed hydrological variables in a standardized form and the weighted averaging procedure could lead to an improvement in WL reconstructions for river basins affected by ENSO events and hydrological extremes.",
1764,"Cost effectiveness of community led total sanitation in Ethiopia and Ghana We conducted cost effectiveness analyses of four different CLTS interventions implemented in Ethiopia and Ghana. In each country, a pilot approach in which additional local actors were trained in CLTS facilitation was compared to the conventional approach. Data were collected using bottom-up costing, household surveys, and observations. We assessed variability of cost effectiveness from a societal perspective for latrine ownership and latrine use outcomes in different contexts. Cost effectiveness ranged from $34-$1897 per household ($5.85-$563 per person) gaining access to a private latrine or stopping open defecation, depending on the intervention, context, and outcome considered. For three out of four interventions, CLTS appeared more cost effective at reducing open defecation than at increasing latrine ownership, although sensitivity analysis revealed considerable variation. The pilot approaches were more cost effective at reducing open defecation than conventional approaches in Ethiopia, but not in Ghana. CLTS has been promoted as a low-cost means of improving the ownership and use of sanitation facilities. In our study, the cost of CLTS per household gaining latrine access was slightly higher than in other studies, and the cost of CLTS per household stopping OD was slightly lower than in other studies. Our results show that aggregate measures mask considerable variability in costs and outcomes, and thus the importance of considering and reporting context and uncertainty in economic analysis of sanitation interventions.",
1765,"[Estimated nutrient export loads based on improved export coefficient model in Xitiaoxi watershed] It is very important to estimate nutrient export loads from watershed, which is beneficial to water environmental management. The export coefficients for major land use types were evaluated by field surveying data, in addition the spatial distributions of precipitation and runoff were considered, to improve on export coefficient model (ECM), then integrated ECM into geographical information system to compose half-distribution model of export coefficients. Estimated nutrients export loads based on the ECM in Xitiaoxi watershed located upper of Taihu Lake area. Results show that the export load for TN and TP was 2 121.3 t and 49.3 t respectively, which provides important reference value for nonpoint source pollution management.",
1766,"Assessment of probable causes of chlorine decay in water distribution systems of Gaborone city, Botswana Gaborone city water distribution system (GCWDS) is rapidly expanding and has been faced with the major problems of high water losses due to leakage, water shortages due to drought and inadequate chlorine residuals at remote areas of the network. This study investigated the probable causes of chlorine decay, due to pipe wall conditions and distribution system water quality in the GCWDS. An experimental approach, which applied a pipe-loop network model to estimate biofilm growth and chlorine reaction rate constants, was used to analyse pipe wall chlorine decay. Also, effects of key water quality parameters on chlorine decay were analysed. The water quality parameters considered were: natural organic matter (measured by total organic carbon, TOC; dissolved organic carbon, DOC; and ultraviolet absorbance at wavelength 254, UVA-254, as surrogates), inorganic compounds (iron and manganese) and heterotrophic plate count (IIPC). Samples were collected from selected locations in the GCWDS for analysis of water quality parameters. The results of biofilm growth and chlorine reaction rate constants revealed that chlorine decay was higher in pipe walk than in the bulk of water in the GCWDS. The analysis of key water quality parameters revealed the presence of TOC, DOC and significant levels of organics (measured by UVA-254), which suggests that organic compounds contributed to chlorine decay in the GCWDS. However, low amounts of iron and manganese (< 0.3 mg/L) indicated that inorganic compounds may have had insignificant contributions to chlorine decay. The knowledge gained on chlorine decay would be useful for improving water treatment and network operating conditions so that appropriate chlorine residuals are maintained to protect the network from the risks of poor water quality that may occur due to the aforementioned problems.",
1767,"New insights into the structure of Om Ali-Thelepte basin, central Tunisia, inferred from gravity data: Hydrogeological implications This work presents new results from gravity data analyses and interpretation within the Om Ali-Thelepte (OAT) basin, central Tunisia. It focuses on the hydrogeological implication, using several qualitative and quantitative techniques such as horizontal gradient, upward continuation and Euler deconvolution on boreholes log data, seismic reflection data and electrical conductivity measurements. The structures highlighted using the filtering techniques suggest that the Miocene aquifer of OAT basin is cut by four major fault systems that trend E-W, NE-SW, NW-SE and NNE-SSW. In addition, a NW-SE gravity model established shows the geometry of the Miocene sandstone reservoir and the Upper Cretaceous limestone rocks. Moreover, the superimposition of the electrical conductivity and the structural maps indicates that the low conductivity values of sampled water from boreholes are located around main faults. (C) 2016 Elsevier Ltd. All rights reserved.",
1768,"Uranium and thorium isotopes from Kazakhstan Uranium and thorium concentrations in water and in soil from Kazakhstan have been investigated. In some sampling points the uranium concentrations of drinking water, exceeded the WHO guideline level for drinking water.(1) Thus, the human effect of uranium exposure from drinking water in these areas is significant. However, soil samples were the same as in the Nature. Irrigation systems in these areas would be easy for water carried in the drains mix with groundwater. The results here suggest that the uranium passes into the groundwater through the agriculture land by the above mechanism.",
1769,"Chemical and microbiological risk assessment of urban river water quality in Vietnam The contamination and risk by nutrients (NH(4)(+), NO(2)(-), NO(3)(-) and PO(4)(3-)), COD, BOD(5), coliform and potentially toxic elements (PTEs)Â of As, Cd, Ni, Hg, Cu, Pb, Zn and Cr were investigated in urban river (Nhue River), Vietnam during 2010-2017. The extensive results demonstrated that concentrations of these contaminants showed significant spatial and temporal variations. The Nhue River was seriously polluted by NH(4)(+) (0.025-11.28Â mg/L), PO(4)(3-) (0.17-1.72Â mg/L), BOD(5) (5.8-179.6Â mg/L), COD (1.4-239.8Â mg/L) and coliform (1540-326,470Â CFU/100Â mL); moderately polluted by As (0.2-131.15Â Î¼g/L) and Hg (0.11-4.1Â Î¼g/L); and slightly polluted by NO(2)(-) (0.003-0.33Â mg/L) and Cd (2.1-18.2Â Î¼g/L). The concentrations of NH(4)(+), PO(4)(3-), COD, BOD(5) and coliform frequently exceeded both drinking water guidelines and irrigation water standards. Regarding PTEs, As, Cd and Hg concentrations were frequently higher than the regulatory limits. Human health risks of PTEs were evaluated by estimating hazard index (HI) and cancer risk through ingestion and dermal contacts for adults and children. The findings indicated that As was the most important pollutant causing both non-carcinogenic and carcinogenic concerns. The non-carcinogenic risks of As were higher than 1.0 at all sites for both adults (HIÂ =Â 1.83-7.4) and children (HIÂ =Â 2.6-10.5), while As posed significant carcinogenic risks for adults (1Â Ã—Â 10(-4)-4.96â€‰Ã—â€‰10(-4)). A management strategy for controlling wastewater discharge and protecting human health is urgently needed.",
1770,"SHRIMP zircon U/Pb dating on ultrahigh pressure rocks from Yangkou: Implications for the timing of partial melting in the Sulu UHP metamorphic belt Fertile components in UHP rocks could undergo partial melting at both water-present or -absent conditions during deep subduction as well as early stages of rapid exhumation of continental materials. Petrographic and geochemical observations had shown that the Sulu UHP rocks experienced partial melting at UHP-HP conditions, which led to the formation of quartzo-feldspathic inclusions, granitic veins or plutons, and substantial geochemical effects. To further constrain the timing of these partial melting events, we have carried out SHRIMP zircon U/Pb dating on UHP metapelite as well as concordant K-rich granitic dike from Yangkou, Shandong Province. Zircon separates from boils samples have core-mantle-rim structure. Zircon cores from metapelite yield Pb-206/U-238 ages greater than 282Ma, which represents different crustal components incorporated into the protiolith of metapelite. The mantle and rim yield Pb-206/U-238 ages of 233 +/- 3Ma and 214 +/- 4Ma, representing the timing of UHP and amphibolite facies retrograde reactions, respectively. Zircon grains from the synkinematic peraluminous granitic dike ( A/CNK = 1. 2) yield similarly wide range Pb-206/U-238 ages (483 similar to 800Ma) from the core, implying that it might be derived from metasediments like sample SYK08-08. Except for one spot from the mantle yields Pb-206/U-238 age of 234. 6 +/- 3. 9Ma, all the other spots cluster around a concordant Pb-206/U-238 age of 220. 8 +/- 2. 9Ma. These mantle domains also contain mineral inclusions of Pl + Kfs + Qtz + Ap, typical of granitic composition. Such an association indicates that the Sulu UHP metasediments underwent partial melting at similar to 221Ma and prior to the widespread amphibolite facies retrograde metamorphism.",
1771,"Building multi-country collaboration on watershed management: lessons on linking environment and public health from the Western Balkans Community-based watershed resilience programs that bridge public health and environmental outcomes often require cross-boundary, multi-country collaboration. The CRESSIDA project, led by the Regional Environmental Center for Central and Eastern Europe (REC) and supported by the US Environmental Protection Agency (EPA), forwards a resilience-focused approach for Western Balkan communities in the Drini and Drina river watersheds with the goal of safeguarding public health and the environment. The initial phases of this project give a contextualized example of how to advance resilience-driven environmental health goals in Western Balkan communities, and experience within the region has garnered several theme areas that require focus in order to promote a holistic watershed management program. In this paper, using CRESSIDA as a case study, we show (1) how watershed projects designed with resilience-driven environmental health goals can work in context, (2) provide data surrounding contextualized problems with resilience and suggest tools and strategies for the implementation of projects to address these problems, and (3) explore how cross-boundary foci are central to the success of these approaches in watersheds that comprise several countries.",
